,Unnamed: 0.1,Unnamed: 0,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,Код:,Байршил 2,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
154,154,35,3 uruu bair 102.45m2,"3.3 сая ₮
үнэ тохирно",2024-03-11,08:38,8109940,,3 өрөө,"УБ — Баянзүрх, 16-р хороолол","
huuchnaar od kino teatriin baruun tald kapital taund 102.45mkv bair zah zeeliin unes hymd hudaldana order belen nemelteer graj awch bolno 12 dawhariin 11dawhart zuun uragsh baruun harsn 5 tsonhtoi 2 tom balkontoi buh zuildee mash oir tusdaa 2 noilbolon jakuztai gal togoo bolon uudnii shkap gd zarim zuiliig dagaldulad ogno jich: zuuch bish huwi hun",https://www.unegui.mn/adv/8109940_mash-goy-bair-hymd-zarlaa/,Паркет,2 тагттай,2015,Байгаа,Вакум,12,Бүргэд,102.45 м²,11,Банкны лизингтэй,5,Ашиглалтад орсон,22.0,36.0,,,Цайз,,,,,,Баянзүрх,16-р хороолол,,3.3,102.45,0.0322108345534407
155,155,33,Ncd group garden city 83мк 4өрөө байр,"361 сая ₮
үнэ тохирно",2024-03-11,08:39,8100118,,4 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 4","
NCD group Garden city 1 хотхонд 83мк бүх цонх урд зүгрүү харсан өөрсдөө амьдарч байгаа 4өрөө байр зарна. Урдаа ямар нэг машины зогсоол, машин зам байхгүй ногоон байгууламжруугаа харсан маш тайван, нам гүн орчинтой.
-Мастер унтлагын өрөө
-2 нойлын өрөө
-2 балконтой
Орцондоо 10 айлтай.
(Зууч холбогдохгүй байнуу)",https://www.unegui.mn/adv/8100118_ncd-group-garden-city-83mk-4oroo/,Паркет,2 тагттай,2021,Байгаа,Вакум,5,Төмөр,83.0 м²,1,Лизинггүй,4,Ашиглалтад орсон,22.0,34.0,,,Яармаг,,,,,,Хан-Уул,Хороо 4,4,361.0,83.0,4.349397590361446
156,156,34,Модны 2-т сrystal od төв зам дагуу 57мкв 2 өрөө,240 сая ₮,2024-03-11,08:39,7993903,,2 өрөө,"УБ — Баянгол, Баянгол, Хороо 17",,https://www.unegui.mn/adv/7993903_khoroolol-modny-2-t-zov-zokhion-baiguulalttai-mash-dulaakhan-shinevter-2-oroo/,Паркет,1 тагттай,2022,Байхгүй,Вакум,15,Бүргэд,57.0 м²,7,Лизинггүй,3,Ашиглалтад орсон,22.0,35.0,,,Модны 2,,,,,,Баянгол,Хороо 17,17,240.0,57.0,4.2105263157894735
157,157,32,Garden city хотхон 83мк,"361 сая ₮
үнэ тохирно",2024-03-11,08:40,8105366,,3 өрөө,"УБ — Хан-Уул, Яармаг","
NCD group Garden city 1 хотхонд 83мк бүх цонх урд зүгрүү харсан өөрсдөө амьдарч байгаа байр зарна. Урдаа ямар нэг машины зогсоол, машин зам байхгүй ногоон байгууламжруугаа харсан маш тайван, нам гүн орчинтой. 3өрөө байрны мөнгөөр 4өрөө байр аваарай.
-Мастер унтлагын өрөө
-2 нойлын өрөө
-2 балконтой
Орцондоо 10 айлтай.",https://www.unegui.mn/adv/8105366_garden-city-khotkhon-83mk/,Паркет,2 тагттай,2021,Байгаа,Вакум,5,Төмөр,83.0 м²,1,Банкны лизингтэй,4,Ашиглалтад орсон,22.0,33.0,,,Яармаг,,,,,,Хан-Уул,Яармаг,,361.0,83.0,4.349397590361446
158,158,31,Дөлгөөн нуур түшиг багана хотхон 47.67 мкв 2 өрөө байр,162.08 сая ₮,2024-03-11,08:41,8106815,,2 өрөө,"УБ — Сүхбаатар, Дөлгөөн нуур","
Төв талбайгаас хойш 1 км‼️ДӨЛГӨӨН НУУРТ 2 өрөө байр худалдана.
{47.67м2} урагшаа болон баруун харсан 4 давхарт
Ойр орчимд: Компьютер молл, 4-р сургууль, 9-р хороо, өрхийн эмнэлэг, Их тойруу худалдааны төв, Сөүл эмнэлэг, удахгүй ашиглалтанд орох Go.to market- тай маш ойрхон.
Гадна зогсоол чиптэй
Түшиг багана ХХК гүйцэтгэсэн Бүрэн цутгамал
Европ сан техник 🇩🇪🇹🇷
Герман паркет🇩🇪
Солонгос обой, хаалга🇰🇷🇰🇷
Смарт цоожтой 🇰🇷
Жич: Гал тогооны тавилга үлдэнэ.",https://www.unegui.mn/adv/8106815_dolgoon-nuur-tushig-bagana-khotkhon-47-67-mkv-2-oroo-bair/,Паркет,1 тагттай,2022,Байхгүй,Вакум,15,Төмөр,47.67 м²,4,Лизинггүй,3,Ашиглалтад орсон,22.0,32.0,,,Дөлгөөн нуур,,,,,,Сүхбаатар,Дөлгөөн нуур,,162.08,47.67,3.4000419551080348
159,159,27,Бзд-н нэгдсэн эмнэлгийн баруун талд 79мкв 3 өрөө байр,"225 сая ₮
үнэ тохирно",2024-03-11,08:43,8062524,,3 өрөө,"УБ — Баянзүрх, 15-р хороолол",,https://www.unegui.mn/adv/8062524_bzd-n-negdsen-emnelgiin-baruun-tald-79mkv-3-oroo-bair/,Паркет,Тагтгүй,2006,Байгаа,Вакум,9,Төмөр вакум,79.0 м²,6,Лизинггүй,3,Ашиглалтад орсон,22.0,28.0,,,"Жуков, Офицер, Сансар",,,,,,Баянзүрх,15-р хороолол,,225.0,79.0,2.848101265822785
160,160,28,Кинг таурт 3 өрөө байр,"420 сая ₮
үнэ тохирно",2024-03-11,08:43,8057943,,3 өрөө,"УБ — Хан-Уул, King Tower","
Кинг таур хотхонд 3 өрөө байр худалдана.
Байршил: ХУД, 17-р хороо
Талбай, Өрөөний тоо, зориулалт: 100.7мкв 3өрөө байр
Хэддүгээр байр/ блок: 126
Барилгын нийт давхар, хэдэн давхарт: 16/10 давхар
Цонхны харууц, цонхны тоо: Зүүн болон хойшоо
Ашиглалтанд орох/орсон огноо: 2019он
Төвийн шугам сүлжээнд холбогдсон эсэх: Тийм
ҮХХийн үнэ : үнэ 420,000,000төг, 1мкв үнэ 4,200,000төг
Төлбөрийн нөхцөл: Бэлэн болон банк",https://www.unegui.mn/adv/8057943_king-taurt-3-oroo-bair-khudaldana/,Паркет,1 тагттай,2019,Байхгүй,Вакум,16,Бүргэд,100.7 м²,10,Лизинггүй,4,Ашиглалтад орсон,22.0,29.0,,,Маршал,,,,,,Хан-Уул,King Tower,,420.0,100.7,4.1708043694141015
161,161,29,Натур төвийн зүүн урд 60.16мкв 3 өрөө байр,"240 сая ₮
259 сая ₮",2024-03-11,08:43,8062391,,3 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 25","
📍БЗД, 13-р хороолол Натур төвийн зүүн урд 10 давхар байранд 3 өрөө орон сууц худалдана

- Том өрөө 4,2м өндөр таазтай том цэлгэр саруулхан цонхтой, өдрийн турш нар үзнэ
- Баруун 2, хойшоо харсан 1 цонхтой тул агаар сэлгэлт сайн
- 2 том тагттай
- Хөршийн хаалгатай
- Хананд суурилуулсан 3 шкаф болон гал тогооны тавилга үлдэнэ./Тавилга бүгд солонгос материалаар хийгдсэн, маш чанартай/
-Сургууль, цэцэрлэг, хороо, худалдааны төвүүд маш ойрхон сайн чанарын бүрэн цутгамал өвөр хийц, загварлаг, сайхан энергитэй байраа зарна.",https://www.unegui.mn/adv/8062391_natur-toviin-zuun-urd-60-16mkv-3-oroo-bair/,Паркет,2 тагттай,2014,Байхгүй,Вакум,10,Бүргэд,60.16 м²,1,Лизинггүй,3,Ашиглалтад орсон,22.0,30.0,,,Натур,,,,,,Баянзүрх,Хороо 25,25,240.0,60.16,3.9893617021276597
162,162,30,Mandala garden 3 өрөө байр 90м2,"385 сая ₮
үнэ тохирно",2024-03-11,08:43,8090089,,3 өрөө,"УБ — Хан-Уул, Яармаг","
Mandala Garden хотхонд 90мкв 3 өрөө ✅Үнэ: 385,000,000 төгрөг
✅Талбай: 90мкв
✅16/4 давхарт
✅2023.8 сард ашиглалтанд орсон
✅Айл амьдраад удаагүй, шинээрээ байгаа
✅6 цонхтой, 2 тагттай
✅гал тогооны тавилга, 2 өрөөний болон үүдний шкаф үлдэнэ
✅Төвийн шугам сүлжээнд бүрэн холбогдсон
🍀Оршин суугчдын аюулгүй, тав тухтай амьдралыг хангасан
🍀Богд уулыг харсан үзэсгэлэнт харууцтай
🍀Айл бүр нар үзэх төлөвлөлттэй
🍀Уул ус, байгалийн сайхныг тольдох цэлгэр саруул цонхтой
🍀Оршин суугчдад зориулан нийтийн эзэмшлийн ногоон орчинтой
🍀Зам харилцааны таатай бүсэд байрлалтай
🍀Бие даасан нэгдсэн дэд бүтэцтэй
🍀Ирээдүйд үнэ цэнэ өсөх байршилд төлөвлөгдсөн",https://www.unegui.mn/adv/8090089_mandala-garden-3-oroo-bair-90m2/,Паркет,2 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,90.0 м²,4,Лизинггүй,6,Ашиглалтад орсон,22.0,31.0,,,Яармаг,,,,,,Хан-Уул,Яармаг,,385.0,90.0,4.277777777777778
163,163,25,Дөлгөөн нуур lago verde residence хотхонд 64мкв 3 өрөө байр,219 сая ₮,2024-03-11,08:44,8081397,,3 өрөө,"УБ — Сүхбаатар, Дөлгөөн нуур","
📍СБД Дөлгөөн нуур Lago verde residence хотхонд 64мкв 3 өрөө байр худалдана

✔️4-р сургуулийн хажууд

✔️16/9 давхарт

✔️Урагшаа болон баруун харсан цонхтой

✔️2 балконтой

✔️Хотын төвтэй ойрхон",https://www.unegui.mn/adv/8081397_dolgoon-nuur-lago-verde-residence-khotkhond-64mkv-3-oroo-bair/,Паркет,2 тагттай,2021,Байхгүй,Вакум,16,Бүргэд,64.0 м²,9,Банкны лизингтэй,4,Ашиглалтад орсон,22.0,26.0,,,Дөлгөөн нуур,,,,,,Сүхбаатар,Дөлгөөн нуур,,219.0,64.0,3.421875
164,164,26,"Хангарьд сити-2 хотхонд 55,27мкв 2 өрөө байр",165 сая ₮,2024-03-11,08:44,7925312,,2 өрөө,"УБ — Хан-Уул, Яармаг","
📍ХУД Хангарьд сити2 хотхонд 55,27мкв 2 өрөө байр худалдана.
✔️Гэрчилгээ бэлэн
✔️зүүн харсан цонхтой
✔️гал тогооны шкаф тектэйгээ үлдэнэ
✔️унтлагын өрөөний шкаф болон шарх шүүгээ 2-н аль нэг нь сонголтоор үлдэнэ",https://www.unegui.mn/adv/7925312_khangard-siti2-khotkhond-55-27mkv-2-oroo-bair/,Паркет,1 тагттай,2021,Байхгүй,Вакум,12,Бүргэд,55.27 м²,9,Лизинггүй,2,Ашиглалтад орсон,22.0,27.0,,,Яармаг,,,,,,Хан-Уул,Яармаг,,165.0,55.27,2.985344671612086
165,165,23,Модны2 crystal od хотхонд 43.53мкв 2 өрөө байр,3.9 сая ₮,2024-03-11,08:45,8098913,,2 өрөө,"УБ — Баянгол, Баруун 4 зам","
📍Модны2 Crystal Od хотхонд 40.83мкв 2 өрөө байр худалдана.
(Сансар супермаркеттай байр)

Нэмэлт мэдээлэл✅

✔️Гэрчилгээ бэлэн
✔️Бүрэн цутгамал
✔️Өндөр таазтай
✔️Өрөөний зөв зохион байгуулалттай
✔️14/2 давхарт
✔️Хос 2 лифттэй
✔️Урагшаа зүүн харсан цонхтой
✔️СӨХ маш сайн
✔️Хотын А бүсэд
✔️Үнэ цэнээ алдахгүй өсөх магадлалтай байршилд",https://www.unegui.mn/adv/8098913_modny2-crystal-od-khotkhond-43-53mkv-2-oroo-bair/,Паркет,Тагтгүй,2022,Байхгүй,Вакум,14,Бүргэд,43.53 м²,2,Лизинггүй,3,Ашиглалтад орсон,22.0,24.0,,,Баруун 4 зам,,,,,,Баянгол,Баруун 4 зам,,3.9,43.53,0.0895933838731909
166,166,24,Худ 15 хороо buti town хотхонд 3 өрөө,465 сая ₮,2024-03-11,08:45,8001690,,3 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15",,https://www.unegui.mn/adv/8001690_khud-15-khoroo-buti-town-khotkhond-3-oroo-oron-suuts/,Паркет,1 тагттай,2023,Байхгүй,Вакум,17,Бүргэд,108.59 м²,6,Банкны лизингтэй,4,Ашиглалтад орсон,22.0,25.0,,,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,465.0,108.59,4.2821622617183905
167,167,22,Түмэн моллын хажууд 3 өрөө орон сууц 86m2,270 сая ₮,2024-03-11,08:46,7875207,,3 өрөө,"УБ — Баянзүрх, 13-р хороолол",,https://www.unegui.mn/adv/7875207_tumen-mollyn-khazhuud-3-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,86.0 м²,4,Банкны лизингтэй,4,Ашиглалтад орсон,22.0,23.0,,,13-р хороолол,,,,,,Баянзүрх,13-р хороолол,,270.0,86.0,3.13953488372093
168,168,21,Топ таунд гал тогоо тусдаа 83.26 мкв 3 өрөө орон сууц,320.55 сая ₮,2024-03-11,08:47,7632331,,3 өрөө,"УБ — Баянзүрх, Сансар",,https://www.unegui.mn/adv/7632331_top-taund-gal-togoo-tusdaa-83-26-mkv-3-oroo-oron-suuts/,Паркет,2 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,83.0 м²,5,Лизинггүй,4,Ашиглалтад орсон,22.0,22.0,,,Сансар,,,,,,Баянзүрх,Сансар,,320.55,83.0,3.8620481927710846
169,169,18,Akoya residence хотхонд 3 өрөө 87м2 байр,480 сая ₮,2024-03-11,08:48,7060084,,3 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15","
#Akoya AKOYA Residence хотхонд 3 өрөө худалдана.
📌16/13 давхарт
📌Урагшаа болон баруун харсан цонхтой
📌Шалнаасаа тааз хүртэл цонхтой
Байршил: ХУД Емартын урд талд Хобби сургуулийн чанх ард талд",https://www.unegui.mn/adv/7060084_akoya-residence-khotkhond-3-oroo/,Паркет,1 тагттай,2023,Байгаа,Вакум,15,Бүргэд,87.0 м²,13,Лизинггүй,5,Ашиглалтад орсон,22.0,19.0,,,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,480.0,87.0,5.517241379310345
170,170,19,Elezabeth хотхонд 3 өрөө 105м2 орон сууц,400 сая ₮,2024-03-11,08:48,7872771,,3 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26",,https://www.unegui.mn/adv/7872771_elezabeth-khotkhond-3-oroo-oron-suuts-khudaldana/,Паркет,2 тагттай,2021,Байгаа,Вакум,16,Бүргэд,105.0 м²,12,Банкны лизингтэй,4,Ашиглалтад орсон,22.0,20.0,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,400.0,105.0,3.8095238095238093
171,171,20,"Хүннү тауэр, 81.32м.кв 3 өрөө орон сууц",309 сая ₮,2024-03-11,08:48,7966575,,3 өрөө,"УБ — Хан-Уул, Хүннү",,https://www.unegui.mn/adv/7966575_khunnu-tauer-81-32m-kv-3-oroo-oron-suuts/,Паркет,1 тагттай,2021,Байхгүй,Вакум,16,Бүргэд,81.0 м²,11,Лизинггүй,3,Ашиглалтад орсон,22.0,21.0,,,Хүннү,,,,,,Хан-Уул,Хүннү,,309.0,81.0,3.814814814814815
172,172,17,"3,4-р хороолол twin apartment-нд мастертай 3 өрөө орон сууц",3.4 сая ₮,2024-03-11,08:50,8109635,,3 өрөө,"УБ — Баянгол, 3, 4 хороолол","
📍3,4-р хороолол Twin apartment-нд мастертай 3 өрөө орон сууц худалдана.



88.25м2 / 16|15 / 2021

🏙️Хойш, баруун, зүүн 4 цонх, 2тагттай
✅Хувцасны өрөөтэй
🤝Бэлэн болон банкаар
🤩Бартерт төвд 2өрөө эсвэл 18,19онтой Land200 сонсож болно
✅Сургууль цэцэрлэг, автобус буудал, худалдааны төвүүд болон төвтэйгээ ойр

💰м2-3.4сая ₮, 💰300сая ₮",https://www.unegui.mn/adv/8109635_3-4-r-khoroolol-twin-apartment-nd-mastertai-3-oroo-oron-suuts/,Паркет,1 тагттай,2021,Байхгүй,Вакум,16,Бүргэд,88.25 м²,15,Лизинггүй,3,Ашиглалтад орсон,22.0,18.0,,,"3, 4 хороолол",,,,,,Баянгол,"3, 4 хороолол",,3.4,88.25,0.038526912181303115
173,173,12,Яармаг шинэ өргөө хотхонд 2өрөө,134 сая ₮,2024-03-11,08:51,8060176,,2 өрөө,"УБ — Хан-Уул, Яармаг","
📍ХУД, Яармаг, Шинэ Өргөө хотхонд 52.86мкв 2 өрөө худалдана.
Үнэ: 134,000,000₮


-2018 онд ашиглалтанд орсон
-5/3 давхарт
-52.86мкв /2өрөө
-Урагшаа болон хойшоо харсан цонхтой",https://www.unegui.mn/adv/8060176_iaarmag-shine-orgoo-khotkhond-2oroo/,Паркет,1 тагттай,2018,Байхгүй,Вакум,5,Бүргэд,52.86 м²,3,Лизинггүй,2,Ашиглалтад орсон,22.0,13.0,,,Яармаг,,,,,,Хан-Уул,Яармаг,,134.0,52.86,2.534998108210367
174,174,13,"Яармаг, энканто оранж хотхонд 48.66м2 3 өрөө",165 сая ₮,2024-03-11,08:51,8060218,,3 өрөө,"УБ — Хан-Уул, Яармаг","
📍Яармаг, Энканто оранж хотхонд 48.66м2 3 өрөө орон сууц худалдана.
⛰️Уул руу харсан харууц сайтай


✅Хэмжээ: 48.66м2
✅Өрөөний тоо: 3
✅Харууц, цонх: Богд уулруу харууцтай 3 цонхтой
✅Давхар: 15/15
✅Ашиглалтад орсон он: 2018

Худалдах үнэ: 165.000.000₮ м2-3.391.000₮",https://www.unegui.mn/adv/8060218_iaarmag-enkanto-oranzh-khotkhond-48-66m2-3-oroo/,Паркет,1 тагттай,2018,Байхгүй,Вакум,15,Бүргэд,48.66 м²,15,Лизинггүй,3,Ашиглалтад орсон,22.0,14.0,,,Яармаг,,,,,,Хан-Уул,Яармаг,,165.0,48.66,3.390875462392109
175,175,14,Бзд цайз захын баруун талд 1 өрөө байр 35м2,98 сая ₮,2024-03-11,08:51,8110009,,1 өрөө,"УБ — Баянзүрх, 16-р хороолол",,https://www.unegui.mn/adv/8110009_bzd-tsaiz-zakhyn-baruun-tald-shine-1-oroo-bair-zarna/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,35.0 м²,14,Лизинггүй,1,Ашиглалтад орсон,22.0,15.0,,,Цайз,,,,,,Баянзүрх,16-р хороолол,,98.0,35.0,2.8
176,176,15,Бзд цайз захын баруун талд 2 өрөө байр 53.7м2,150 сая ₮,2024-03-11,08:51,8110010,,2 өрөө,"УБ — Баянзүрх, 16-р хороолол","
бзд цайз захын баруун талд шинээр ашиглалтанд орсон шинэ 2 өрөө байр зарна",https://www.unegui.mn/adv/8110010_bzd-tsaiz-zakhyn-baruun-tald-shine-2-oroo-bair-zarna/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,53.7 м²,5,Лизинггүй,2,Ашиглалтад орсон,22.0,16.0,,,Цайз,,,,,,Баянзүрх,16-р хороолол,,150.0,53.7,2.793296089385475
177,177,16,Artsat luxury apartment 3өрөө,2.9 сая ₮,2024-03-11,08:51,7979506,,2 өрөө,"УБ — Хан-Уул, Яармаг","
📍худ, 23-р хороо artsat luxury apartment 3өрөө орон сууц худалдана.
69.85м2 / 13|6 / 2022

📱

🏙баруун 3цонх, 1тагттай
✅засвар шаардлагагүй, шинээс ялгаагүй маш цэвэрхэн байр
✅бэлэн болон банкаар
🎁галтогоо, унтлагын өрөөний шкаф

💰м2-2.9₮, 💰202сая ₮",https://www.unegui.mn/adv/7979506_artsat-luxury-apartment-3oroo/,Паркет,1 тагттай,2022,Байхгүй,Вакум,13,Бүргэд,69.85 м²,6,Лизинггүй,3,Ашиглалтад орсон,22.0,17.0,,,Яармаг,,,,,,Хан-Уул,Яармаг,,2.9,69.85,0.04151753758052971
178,178,17,Их тойруу худалдааны төвийн урд 3 өрөө байр 73.86м2,"250 сая ₮
үнэ тохирно",2024-03-11,08:52,7945960,,3 өрөө,"УБ — Сүхбаатар, Дөлгөөн нуур","
Дөлгөөн нуур Их тойруу худалдааны төвийн урд GREEN LAKE хотхонд маш дулаан харууц сайтай цэлгэр 3 өрөө байр доторх тавилгыг өгнө. Гэрчилгээ бэлэн",https://www.unegui.mn/adv/7945960_ikh-toiruu-khudaldaany-toviin-urd/,Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,73.86 м²,11,Лизинггүй,5,Ашиглалтад орсон,1.0,18.0,,,Дөлгөөн нуур,,,,,,Сүхбаатар,Дөлгөөн нуур,,250.0,73.86,3.3847820200379095
179,179,11,ирээдүйн билэг хотхонд 70.44мк 3 өрөө,2.73 сая ₮,2024-03-11,08:52,7957601,,3 өрөө,"УБ — Хан-Уул, Яармаг","
ХУД арцат ам Ирээдүйн билэг хотхонд 70.44мк 3 өрөө худалдана.

2023 оны 12 сард ашиглалтанд орсон
13/10 давхарт
70.44мк /3 өрөө
Үнэ 192 / мк 2.725.000
Баруун болон хойшоо харсан цонхтой
Захиалгын гэрээ шилжүүлнэ
Комисс акт гарсан
Цоо шинэ хүн амьдраагүй",https://www.unegui.mn/adv/7957601_khud-artsat-am-ireeduin-bileg-khotkhond-70-44mk-3-oroo/,Паркет,1 тагттай,2023,Байхгүй,Вакум,13,Бүргэд,70.44 м²,10,Лизинггүй,3,Ашиглалтад орсон,22.0,12.0,,,Яармаг,,,,,,Хан-Уул,Яармаг,,2.73,70.44,0.038756388415672915
180,180,9,"Бзд 26-р хороо, үцх чанх хойно park view хотхонд 4 өрөө байр",545 сая ₮,2024-03-11,08:53,8039911,,4 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
БЗД 26-р хороо, ҮЦХ чанх хойно PARK VIEW хотхонд 4 өрөө байр худалдана.

✔️109мкв
✔️16/ 3 давхарт
✔️Зүүн харсан 1, баруун харсан 3 цонхтой
✔️2 ариун цэврийн өрөөтэй

М2:5,000,000₮ ~ 545,000,000₮",https://www.unegui.mn/adv/8039911_bzd-26-r-khoroo-utskh-chankh-khoino-park-view-khotkhond-4-oroo-bair-khudaldana/,Паркет,1 тагттай,2019,Байгаа,Вакум,16,Бүргэд,108.92 м²,3,Лизинггүй,4,Ашиглалтад орсон,22.0,10.0,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,545.0,108.92,5.003672420124862
181,181,8,Баянмонгол хороололд 94.2мкв 3 өрөө,300 сая ₮,2024-03-11,08:54,8031233,,3 өрөө,"УБ — Баянзүрх, Баянмонгол хороолол","
Баянмонгол хороололд 94.2мкв 3 өрөө худалдана.

- 10/3 давхарт
- Баруун харсан 3 цонхтой
- 2 ариун цэврийн өрөөтэй 1 тагттай
- Өрөөний зохион байгуулалт сайтай.
- Засвар хийсэн цэвэрхэн

M2: 3,180,000₮~ 300,000,000₮",https://www.unegui.mn/adv/8031233_baianmongol-khoroolold-94-2mkv-3-oroo-khudaldana/,Паркет,1 тагттай,2012,Байхгүй,Вакум,10,Бүргэд,94.2 м²,3,Лизинггүй,3,Ашиглалтад орсон,22.0,9.0,,,Баянмонгол,,,,,,Баянзүрх,Баянмонгол хороолол,,300.0,94.2,3.184713375796178
182,182,5,Бзд 26-р хороо emerald хотхонд 89мкв 3 өрөө,"415 сая ₮
үнэ тохирно",2024-03-11,08:55,8088685,,3 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
БЗД 26-р хороо Emerald хотхонд 89мкв 3 өрөө худалдана.

☎️☎️

- 16/7 давхарт
- Баруун харсан цонхтой
- 2019 сард ашиглалтанд орсон
- Төлбөрийн нөхцөл: бэлэн болон банк

Нийт үнэ: 415,000,000₮",https://www.unegui.mn/adv/8088685_bzd-26-r-khoroo-emerald-khotkhond-89mkv-3-oroo-khudaldana/,Паркет,1 тагттай,2019,Байхгүй,Вакум,16,Бүргэд,89.0 м²,7,Лизинггүй,3,Ашиглалтад орсон,22.0,6.0,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,415.0,89.0,4.662921348314606
183,183,6,Халдвартын урд аман хуур хотхонд 95.1 мкв 3 өрөө байр,"255 сая ₮
үнэ тохирно",2024-03-11,08:55,8098057,,3 өрөө,"УБ — Баянзүрх, 15-р хороолол","
БЗД , Халдвартын урд “Аман Хуур” хотхонд 95.1 мкв мастертай 3 өрөө байр худалдана.

- 12/2 давхарт
- Зүүн болон хойшоо харсан цонхнуудтай
- 2 том тагттай
- Мастер унтлагын өрөө
- Хувцасны өрөөтэй суурилуулсан тавилгууд үлдэнэ.
- Гэрчилгээ бэлэн
- Граж : 25,000,000₮

Үнэ: 2,680,000 ~ 255,000,000₮",https://www.unegui.mn/adv/8098057_khaldvartyn-urd-aman-khuur-khotkhond-95-1-mkv-mastertai-3-oroo-bair-khudaldana/,Паркет,1 тагттай,2014,Байгаа,Вакум,12,Бүргэд,95.1 м²,2,Лизинггүй,3,Ашиглалтад орсон,22.0,7.0,,,"Жуков, Офицер, Сансар",,,,,,Баянзүрх,15-р хороолол,,255.0,95.1,2.6813880126182967
184,184,7,park east хотхонд 68мкв 2 өрөө байр,290 сая ₮,2024-03-11,08:55,8062094,,2 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
Дүнжингарав худалдааны төвийн зүүн урд, Park east хотхонд 68мкв 2 өрөө байр худалдана.

- 12/9 давхарт
- Урагшаа харсан цонхтой
- Гэрчилгээ бэлэн

М2: 4,260,000₮
Нийт үнэ: 290,000,000₮",https://www.unegui.mn/adv/8062094_bzd-26-r-khoroo-park-east-khotkhond-68mkv-2-oroo-bair-khudaldana/,Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,68.0 м²,9,Лизинггүй,3,Ашиглалтад орсон,22.0,8.0,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,290.0,68.0,4.264705882352941
185,185,4,"Худ арцадын ам ирээдүйн билэг хотхонд 57,39мкв 2 өрөө",2.8 сая ₮,2024-03-11,08:56,8110111,,2 өрөө,"УБ — Хан-Уул, Яармаг","
📍ХУД Арцадын ам Ирээдүйн билэг хотхонд 57,39мкв 2өрөө шинэ орон сууц худалдана.
-Мкв(2,800,000)

- Шинээр гал тогооны тавилга, плетка хийгдсэн
- 13/5 давхарт
- Урагшаа харсан цонхтой
- Том тагттай",https://www.unegui.mn/adv/8110111_khud-artsadyn-am-ireeduin-bileg-khotkhond-57-39mkv-2oroo/,Паркет,1 тагттай,2024,Байхгүй,Вакум,13,Бүргэд,57.39 м²,5,Лизинггүй,2,Ашиглалтад орсон,22.0,5.0,,,Яармаг,,,,,,Хан-Уул,Яармаг,,2.8,57.39,0.048788987628506704
