N,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
223,Хангарьд сити1 2 өрөө,171.37 сая ₮,3/16/2024,14:39,8083448,,2 өрөө,"УБ — Хан-Уул, Яармаг","
📍Хангарьд сити 1 хотхонд 2 өрөө байр худалдана.


- 53.73м2
- 13/7 давхар
- Зүүн харсан цонхтой
- гал тогооны тавилга,шкаф дагалдана.
- Цэцэрлэг,сургууль ойрхон
- Гэрчилгээ бэлэн
Худалдах үнэ: 3.250.000₮
171,372,500₮",https://www.unegui.mn/adv/8083448_khangard-siti1-2-oroo/,Паркет,1 тагттай,2019,Байхгүй,Вакум,13,Төмөр,54.0 м²,7,Банкны лизингтэй,2,Ашиглалтад орсон,8,12,Яармаг,,,,,,Хан-Уул,Яармаг,,171.37,54,3.173518519
224,13-р хороолол ногоон төгөл хотхонд 94.38м2 3 өрөө орон сууц,368.1 сая ₮,3/16/2024,14:38,8127988,,3 өрөө,"УБ — Баянзүрх, 13-р хороолол","
13-р хороолол #Ногоон_төгөл хотхонд 94.38м2 3 өрөө орон сууц худалдана.
Үнэ:368.1сая

16/12 давхарт, зүүн харсан цонхтой
Бэлэн болон банкаар авах боломжтой",https://www.unegui.mn/adv/8127988_13-r-khoroolol-nogoon-togol-khotkhond-94-38m2-3-oroo-oron-suuts/,Паркет,2 тагттай,2013,Байхгүй,Вакум,16,Бүргэд,94.38 м²,13,Банкны лизингтэй,4,Ашиглалтад орсон,8,13,13-р хороолол,,,,,,Баянзүрх,13-р хороолол,,368.1,94.38,3.900190718
225,Нова виста 5 өрөө,3.5 сая ₮,3/16/2024,14:38,7975583,,5+ өрөө,УБ — Сүхбаатар,"
Нова виста 4-р блок, 11 давхарт, 1104 тоот.",https://www.unegui.mn/adv/7975583_nova-vista-mash-goio-zokhion-baiguullaltai-5-oroo-shuud-nuuzh-orokhod-belen/,Паркет,2 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,145.0 м²,11,Лизинггүй,6,Ашиглалтад орсон,8,14,,,,,,,Сүхбаатар,,,3.5,145,0.024137931
226,Well residence 2 uruu,267 сая ₮,3/16/2024,14:38,8042267,,2 өрөө,УБ — Баянзүрх,"
📍Үндэсний цэцэрлэгт хүрээлэнгийн замын хойно Олонлог сургуулийн баруун талд
✅WELLS RESIDENCE-д 52,3м2 шинэ 2 өрөө орон сууц худалдана
✅6 давхарт
✅Цонх хойшоо харсан
✅Шууд нүүгээд ороход бэлэн
✅Мкв үнэ 5,1 сая
267,000,000",https://www.unegui.mn/adv/8042267_well-residence-2-uruu/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Төмөр,52.0 м²,6,Лизинггүй,2,Ашиглалтад орсон,8,15,,,,,,,Баянзүрх,,,267,52,5.134615385
227,Time square 5 өрөө,1.08 Тэрбум ₮,3/16/2024,14:37,8006056,,5+ өрөө,"УБ — Хан-Уул, River Garden","
165.1мкв 5 өрөө 7FL урагшаа, хойшоо цонхтой
4 унтлагийн өрөө
2 А.Ц өрөө
2 дулаан зогсоолтой тусдаа үнэтэй
байрны үнэ 1.080.000.000₮
1мкв нь 6.540.000",https://www.unegui.mn/adv/8006056_time-square-5-oroo/,Паркет,1 тагттай,2017,Байгаа,Вакум,10,Төмөр,165.0 м²,7,Банкны лизингтэй,5,Ашиглалтад орсон,8,16,Маршал,,,,,,Хан-Уул,River Garden,,1080,165,6.545454545
228,Худ соёмбо хотхон 135 м2 4-өрөө,2.7 сая ₮,3/16/2024,14:33,8127973,,4 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 11","
ХУД 11-р хороо Соёмбо хотхон
4-өрөө 135 м2
Байгалдаа ойрхон
Цэвэр агаарт
Чанартай байрийг хямд худалдана",https://www.unegui.mn/adv/8127973_khud-soiombo-khotkhon-135-m2-4-oroo/,Паркет,1 тагттай,2012,Байгаа,Вакум,6,Бүргэд,135.0 м²,1,Лизинггүй,5,Ашиглалтад орсон,8,17,Зайсан,,,,,,Хан-Уул,Хороо 11,11,2.7,135,0.02
229,Хүүхдийн парк-н зүүн талд 5 өрөө орон сууц,720 сая ₮,3/16/2024,14:33,8053488,,5+ өрөө,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1","
📍СБД, 1-р хороо, хүүхдийн паркийн зүүн талын Эрэл хотхоны 35-р байранд 187м2 том цэлгэр 5өрөө орон сууц худалдана.
✨5/4 давхарт
✨Зүүн, Урагш, Баруун харсан 7цонхтой, 2 Болкантай
✨Гэрчилгээ бэлэн банкны энгийн зээлээр авах боломжтой
✨ 2ш дулаан зогсоолтой (Тусдаа үнэтэй 1ш 40сая)",https://www.unegui.mn/adv/8053488_khuukhdiin-park-n-zuun-tald-5-oroo-oron-suuts-zarna/,Паркет,2 тагттай,2008,Байгаа,Вакум,5,Төмөр,187.0 м²,4,Лизинггүй,7,Ашиглалтад орсон,8,18,Талбай,,,,,,Сүхбаатар,Хороо 1,1,720,187,3.85026738
230,3 өрөө орон сууц 69.3m2,"1.9 сая ₮
үнэ тохирно",3/16/2024,14:32,8127871,,3 өрөө,"УБ — Чингэлтэй, Хайлааст","
Чингэлтэй дүүрэг Хайлаастад 102 цэцэрлэг 72 сургуулийн хажууд 3 өрөө орон сууц зарна 69,13 м2 1м2 нь 1900000 60 хувь урьдчилгаа авч хувь лизингээр зарж болно",https://www.unegui.mn/adv/8127871_3-oroo-oron-suuts-1-mkv-1900000/,Паркет,1 тагттай,2022,Байхгүй,Вакум,5,Бүргэд,69.3 м²,5,Хувь лизингтэй,3,Ашиглалтад орсон,8,19,,,,,,,Чингэлтэй,Хайлааст,,1.9,69.3,0.027417027
231,english school of mongolia-ийн хойно 2 өрөө,"145 сая ₮
үнэ тохирно",3/16/2024,14:31,8127908,,2 өрөө,"УБ — Баянзүрх, Сансар","
✔️Улсын сургууль цэцэрлэг, автобусны буудал, өрх хороо, хүнсний захуудтай маш ойрхон байрлалтай
✔️Өвөлдөө дулаахан
✔️Наран талдаа харсан цонхтой
✔️Сансарын Е-марттай ойрхон
Гэрчилгээ бэлэн, маш цэвэрхэн, засвар хийх шаардлагагүй
✔️Тавилга үлдэж болно",https://www.unegui.mn/adv/8127908_bzd-1-r-khoroo-sansar-english-school-of-mongolia-iin-khoino-93-r-bair-8-davkhart/,Паркет,1 тагттай,2020,Байхгүй,Вакум,8,Төмөр,40.0 м²,8,Лизинггүй,3,Ашиглалтад орсон,8,20,Сансар,,,,,,Баянзүрх,Сансар,,145,40,3.625
232,Hunnu 22d 3 uruu,"395 сая ₮
үнэ тохирно",3/16/2024,14:31,8127909,,3 өрөө,"УБ — Хан-Уул, Хүннү","
hunnu 2222d 1r eeljind ehnii egneenii 3uruu bair zarna",https://www.unegui.mn/adv/8127909_hunnu-22d-3-uruu/,Паркет,1 тагттай,2016,Байхгүй,Вакум,19,Төмөр вакум,69.95 м²,5,Лизинггүй,4,Ашиглалтад орсон,8,21,Хүннү,,,,,,Хан-Уул,Хүннү,,395,69.95,5.646890636
233,13 р хороолол 6р байр 4 өрөө,300 сая ₮,3/16/2024,14:30,8127887,,4 өрөө,"УБ — Баянзүрх, 13-р хороолол","
Төв зам дагуу,",https://www.unegui.mn/adv/8127887_13-r-khoroolol-6r-bair/,Паркет,1 тагттай,1990,Байхгүй,Вакум,9,Мод,105.0 м²,7,Лизинггүй,5,Ашиглалтад орсон,8,22,13-р хороолол,,,,,,Баянзүрх,13-р хороолол,,300,105,2.857142857
234,"Академи хотхон-1 79,95мкв 3 өрөө байр",440 сая ₮,3/16/2024,14:29,8127848,,3 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 18","
Академи 1 хотхонд тусдаа гал тогоотой, 3 өрөө байр худалдана. 25 давхарын өндөрөөс japan town, хүннү2222, цэнгэлдэх хүрээлэн шууд харагдана. Өглөөнөөс орой болтол нар тусна.",https://www.unegui.mn/adv/8127848_akademi-khotkhon-1-79-8mkv-25-davkhart-3-oroo-bair-khudaldana/,Паркет,1 тагттай,2017,Байхгүй,Вакум,25,Төмөр,79.98 м²,25,Банкны лизингтэй,4,Ашиглалтад орсон,8,23,,,,,,,Хан-Уул,Хороо 18,18,440,79.98,5.501375344
235,Нисэхэд 2 өрөө 57м2 байр,125 сая ₮,3/16/2024,14:27,8127442,,2 өрөө,"УБ — Хан-Уул, Нисэх","
Спорт ордны баруун талд имигрешний байранд зүүн, баруун, урагшаа цонхтой, бүтэн өдөр нар үзэх, харууц халхлах зүйлгүй 2 өрөө орон сууц худалдана.
Доод үнэ: 125сая үнэ буух боломжгүй.

Гэрчилгээ бэлэн зээлээр авч болно.",https://www.unegui.mn/adv/8127442_nisekhed-2-oroo/,Паркет,1 тагттай,2017,Байхгүй,Вакум,9,Бүргэд,57.0 м²,3,Лизинггүй,5,Ашиглалтад орсон,8,24,Нисэх,,,,,,Хан-Уул,Нисэх,,125,57,2.192982456
236,1 давхрын 2 өрөө байр,"130 сая ₮
үнэ тохирно",3/16/2024,14:26,8127853,,2 өрөө,"УБ — Баянгол, Баянгол, Хороо 7","
Гэмтлийн эмнэлгийн хажууд Эмийн Сан, Дэлгүүр, үсчин, гоо сайхан, онлайн шопын агуулах гэх мэт бүр талаар үйлчилгээ явуулах боломжтой.",https://www.unegui.mn/adv/8127853_uilchilgee-iavuulakh-bolomzhtoi-1-davkhryn-2-oroo-bair-zarna-gadagshaa-khaalgatai/,Плита,Тагтгүй,2010,Байхгүй,Вакум,12,Бүргэд,43.0 м²,1,Лизинггүй,2,Ашиглалтад орсон,8,25,"3, 4 хороолол",,,,,,Баянгол,Хороо 7,7,130,43,3.023255814
237,Драгонд хажууд 2 өрөө байр,118 сая ₮,3/16/2024,14:26,7790684,,2 өрөө,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 29","
Драгоны хажууд бүрэн засвар хийсэн 2 өрөө байр яаралтай худалдана.
©️43мкв
©️9/1 давхарт
©️Тагттай
©️ Маш дулаахан
©️Урагшаа болон баруун харсан цонхтой
©️Цэцэрлэг сургуульдаа ойрхон
©️Талх чихэр, Сүү, Тэсо компаниудтай ойрхон
©️сууриулсан тавилгууд үлдэнэ.",https://www.unegui.mn/adv/7790684_khuuchin-dragond-2-oroo-bair-khudaldana/,Паркет,1 тагттай,2013,Байхгүй,Вакум,9,Бүргэд,44.96 м²,1,Лизинггүй,3,Ашиглалтад орсон,8,26,Москва,,,,,,Сонгинохайрхан,Хороо 29,29,118,44.96,2.62455516
238,Циркийн зүүн урд 31 сургуулийн хойно 3 өрөө 100.3м2 байр,"580 сая ₮
үнэ тохирно",3/16/2024,14:25,8042338,,3 өрөө,"УБ — Сүхбаатар, 5-р хороолол","
Хотын төвд А цэгт замаас зайдуу тайван тогтуун тусгаарласан орчинтой, харуул хамгааалалт машинаа хашаандаа тавих 24/7 харуултай. Xүүхдийн тооглооомын талбайтай.
Урд ба баруун тийш уудам харууц, том балконтой, иж бүрэн тавилгатай нь , 2 угаагуурын өрөө, 2унтлага, том зочны өрөөө том гал зуух, маш дулаахан, АС агааржуулагчтай",https://www.unegui.mn/adv/8042338_tsirkiin-zuun-urd-31r-surguuliin-oodoos-kharan/,Паркет,1 тагттай,2010,Байгаа,Вакум,12,Төмөр вакум,100.3 м²,8,Лизинггүй,5,Ашиглалтад орсон,8,27,Цирк,,,,,,Сүхбаатар,5-р хороолол,,580,100.3,5.782652044
239,"Худ, vega city хотхонд 104,7 м.кв 4 өрөө",7.2 сая ₮,3/16/2024,14:25,8119600,,4 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15","
ХУД, 𝟏𝟓-р хороо, ‘’𝐕𝐄𝐆𝐀 𝐂𝐈𝐓𝐘’’хотхонд 104,7 мкв 4 өрөө орон сууц худалдана.

ҮНЭ: м.кв 7,200,000 / Нийт 753,840,000

▪️6 давхарт
▪️𝟐 ариун цэврийн өрөө
• 1 угаалгын машины өрөө
▪️Мастер унтлагийн өрөө
▪️зүүн, баруун хойшоо харсан цонхтой
Гэрчилгээ гарсан
Гал тогооны тавилга үлдэнэ",https://www.unegui.mn/adv/8119600_khud-vega-city-khotkhond-104-7-m-kv-4-oroo/,Паркет,1 тагттай,2023,Байхгүй,Вакум,15,Төмөр,104.0 м²,6,Лизинггүй,5,Ашиглалтад орсон,8,28,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,7.2,104,0.069230769
240,Nisorad 4 өрөө,374 сая ₮,3/16/2024,14:24,8127943,,4 өрөө,"УБ — Баянзүрх, Сансар","
Сансарын тунелын хойно Нисора таурт 4н өрөө худалдана.
- 12/4
- Урагшаа болон зүүн харууцтай
- Улсын 48, 33-р сургууль, цэцэрлэг маш ойрхон
- Үйлчилгээний төвүүд ойрхон
- Хотын төв
- Гэрчилгээ бэлэн
- 1 мвк 3,300,000₮

Засвар хийх шаардлагатай",https://www.unegui.mn/adv/8127943_nisorad/,Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Төмөр,113.0 м²,4,Банкны лизингтэй,6,Ашиглалтад орсон,8,29,Сансар,,,,,,Баянзүрх,Сансар,,374,113,3.309734513
241,dulguun nuur apartment-д 2 өрөө байр,163 сая ₮,3/16/2024,14:24,8127798,,2 өрөө,"УБ — Сүхбаатар, Дөлгөөн нуур","
Hoimor Office-ийн хойно байрлах Dulguun Nuur Apartment-д 2020 онд ашиглалтанд орсон (46.46м2) 2 өрөө байр зарна.
Төв Талбайгаас 1км-ийн зайд хотын А бүсэд байрлалтай бөгөөд, сургууль, цэцэрлэг, эмнэлэг, худалдаа, үйлчилгээний төвүүдтэйгээ маш ойрхон (4-р сургууль, Go.To Market, Сөүл Эмнэлэг, Их Тойруу Худалдааны төв)
Байрны хувьд 2 цонх нь хоёулаа наран талдаа харсан, өрөөний зөв зохион байгуулалттай, дээгүүр давхар болох 15 давхарт байрлалтай сайхан байр байна аа.
Гадаах машины зогсоол маш сайтай бөгөөд, хүүхдийн тоглоомын талбай болон бялдаржуулах талбайтай.
Яг урд харах орчин хааж өндөр барилга баригдахгүй 250 хүүхдийн улсын цэцэрлэг баригдаж байгаа.
Жич : Зууч биш хувь хүн өөрөө зарж байгаа шүү.",https://www.unegui.mn/adv/8127798_hoimor-office-iin-khoino-dulguun-nuur-apartment/,Ламинат,1 тагттай,2020,Байхгүй,Вакум,16,Төмөр,46.46 м²,15,Лизинггүй,2,Ашиглалтад орсон,8,30,Дөлгөөн нуур,,,,,,Сүхбаатар,Дөлгөөн нуур,,163,46.46,3.508394318
242,Bella vista-д 2 өрөө,680 сая ₮,3/16/2024,14:23,8127941,,2 өрөө,"УБ — Хан-Уул, Bella Vista","
🌱Зайсан, #𝐁𝐄𝐋𝐋𝐀 #𝐕𝐈𝐒𝐓𝐀 өндөр зэрэглэлийн хотхонд #үйлчилгээ #оффис болон #2өрөө орон сууцаар ашиглах боломжтой үл хөдлөх худалдана.

Үнэ: 680сая

Үйлчилгээ, оффис болон орон сууцны зориулалтаар ашиглах боломжтой.

▪️𝐌𝐂𝐒 𝐠𝐫𝐨𝐮𝐩 -н бүтээн байгуулалт
▪️99.94мкв
▪️B1 Давхарт
▪️Давхартаа 2 айлтай
▪️2 өрөөтэй /3өрөө болгох боломжтой/
▪️Хувцасны өрөөтэй
▪️2 ариун цэврийн өрөөтэй
▪️хойш харсан цонхтой| тагтгүй

🌱Хотхон дотроо бассейн, фитнесстэй, оршин суугчдын тав тухыг хангасан 24 цагийн харуул хамгаалалтын үйлчилгээтэй.",https://www.unegui.mn/adv/8127941_bella-vista-d-2-oroo-khudaldana/,Паркет,Тагтгүй,2017,Байхгүй,Төмөр вакум,16,Бүргэд,100.0 м²,1,Лизинггүй,3,Ашиглалтад орсон,8,31,,,,,,,Хан-Уул,Bella Vista,,680,100,6.8
243,Худ сөүл гарден 42.52m2 2-өрөө,140 сая ₮,3/16/2024,14:21,8127932,,2 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 25","
ХУД 25-р хороо СӨҮЛ гарден
42.52 м2 2-өрөө
Шинээр ашиглалтанд орсон
Баруун тийш хотхон руу харсан 2 том цэлгэр цонх
Цогц төлөвлөлттэй",https://www.unegui.mn/adv/8127932_khud-soul-garden-42-52m2-2-oroo/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,42.52 м²,2,Лизинггүй,2,Ашиглалтад орсон,8,32,,,,,,,Хан-Уул,Хороо 25,25,140,42.52,3.292568203
244,Хороололд алтантөгрөгийн урд 60м2 2 өрөө,137 сая ₮,3/16/2024,14:20,8127821,,2 өрөө,"УБ — Баянгол, 3, 4 хороолол",,https://www.unegui.mn/adv/8127821_khoroolold-altantogrog-delguuriin-urd-khunsnii-zakhyn-khazhuud-60m2-talbaitai-2-oroo/,Паркет,1 тагттай,1987,Байхгүй,Вакум,12,Бүргэд,60.0 м²,11,Лизинггүй,3,Ашиглалтад орсон,8,33,"3, 4 хороолол",,,,,,Баянгол,"3, 4 хороолол",,137,60,2.283333333
245,Ганданд ганган апартмэнт 2 д 3 өрөө байр,5.5 сая ₮,3/16/2024,14:19,8046048,,3 өрөө,"УБ — Баянгол, Гандан","
хотын төвд, бүх юмандаа ойр.",https://www.unegui.mn/adv/8046048_gandand-gangan-apartment-2-d-3-oroo-bair-zarna/,Паркет,Тагтгүй,2023,Байхгүй,Вакум,5,Бүргэд,62.33 м²,4,Лизинггүй,4,Ашиглалтад орсон,8,34,,,,,,,Баянгол,Гандан,,5.5,62.33,0.088240013
246,"Худ, наадам центрийн урд 120 мянгат цэнгэлдэх хотхонд 79.98 мкв 3 өрөө",499 сая ₮,3/16/2024,14:18,7983548,,3 өрөө,"УБ — Хан-Уул, 120 мянгат",,https://www.unegui.mn/adv/7983548_khud-naadam-tsentriin-urd-120-miangat-tsengeldekh-khotkhond-79-98-mkv-3-oroo/,Паркет,1 тагттай,2021,Байхгүй,Вакум,23,Бүргэд,79.98 м²,18,Лизинггүй,4,Ашиглалтад орсон,8,35,120 мянгат,,,,,,Хан-Уул,120 мянгат,,499,79.98,6.239059765
247,Зайсан сүлд хотхонд 2 өрөө байр,"3.5 сая ₮
үнэ тохирно",3/16/2024,14:17,8127799,,2 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 11","
Баруун харсан цонхтой учир нар удаан үзэгдэж, харагдах орчин сайтай. ГрандМед эмнэлэгийн зүүн талд.",https://www.unegui.mn/adv/8127799_zaisan-sulld-khotkhond-shineer-ashiglaltand-orson-2-oroo-bair-zarna/,Паркет,1 тагттай,2024,Байхгүй,Вакум,12,Бүргэд,54.65 м²,9,Лизинггүй,2,Ашиглалтад орсон,8,36,Зайсан,,,,,,Хан-Уул,Хороо 11,11,3.5,54.65,0.064043916
248,Royal castle хотхонд байр,"800 сая ₮
үнэ тохирно",3/16/2024,14:14,8127914,,5+ өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 1","
• 12/9 давхарт
• 240 мкв | 4 унтлагын өрөө, 1 хүүхдийн өрөөтэй
• 2 ариун цэврийн өрөөтэй
• Үндсэн болон туслах 2 гал тогоотой
• Наран талдаа цэлгэр том цонхтой 2 тагттай
• Ханандаа өөрөөсөө шүүгээтэй
• Урагшаа, хойшоо болон баруун тийш харсан цонхуудтай
• Илүү нам гүм орчин болон харууц сайтай
• Харуул хамгаалалт болон СӨХ сайтай
• Гэрээсээ лифт дуудах боломжтой
• Сангийн холболтууд нь зэсэн хоолойтой
• Маш дулаахан шалнаасаа халдаг тохируулгатай
• Байрлал нь хотын төвд, сургууль, цэцэрлэг болон бусад үйлчилгээндээ ойр
• Хотхоны оршин суугчдын нэгдсэн усан бассейн болон фитнэссийн өрөөтэй
• Үнэ: 800,000,000 ₮",https://www.unegui.mn/adv/8127914_royal-castle-khotkhond-bair-khudaldana/,Паркет,2 тагттай,2006,Байгаа,Вакум,12,Бүргэд,240.0 м²,9,Лизинггүй,8,Ашиглалтад орсон,,,СЭЗИС,,,,,,Баянзүрх,Хороо 1,1,800,240,3.333333333
249,Хүннү-𝟐𝟐𝟐𝟐 𝟏-р ээлжинд 𝟏𝟏𝟕.𝟖𝟑мк.в 𝟒 өрөө байр,624.5 сая ₮,3/16/2024,14:13,8123860,,4 өрөө,"УБ — Хан-Уул, Хүннү","
ХУД 𝟏𝟖-р хороо Хүннү-𝟐𝟐𝟐𝟐 𝟏-р ээлжинд 𝟏𝟏𝟕.𝟖𝟑мк.в 𝟒 өрөө байр худалдана


|📌Үнэ:𝟏мкв:𝟓.2𝟎𝟎.𝟎𝟎𝟎|Нийт:612.716.000

▪️𝟏𝟗/𝟏 давхарт
▪️Мастер унтлагын өрөөтэй
▪️Урагш 𝟑 цонх хойш 𝟐 цонхтой , 𝟐 тагттай

🌱Ногоон байгууламж, Усан оргилуур
💁‍♀️Хотхондоо машин ордоггүй хүүхдэд ээлтэй, 𝟏𝟎𝟎% бүрэн цутгамал ( 𝟖 балл)

Хурд группын бүтээн байгуулалт
▪️Орчлон, Хобби , 𝟏𝟑𝟎-р сургууль ойр
▪️Гэрчилгээ бэлэн
💁‍♀️Гал тогооны тавилга, плитка, хиншүү сорогч, үүдний шкаф, хувцасны өрөөний шкаф, абжурууд, хөшигнүүд үлдэнэ.",https://www.unegui.mn/adv/8123860_khudaldana/,Паркет,2 тагттай,2020,Байхгүй,Вакум,19,Бүргэд,117.83 м²,1,Банкны лизингтэй,6,Ашиглалтад орсон,8,37,Хүннү,,,,,,Хан-Уул,Хүннү,,624.5,117.83,5.300008487
250,Модны-2 монген сургуулийн урд 2өрөө байр,160 сая ₮,3/16/2024,14:11,8104787,,2 өрөө,"УБ — Баянгол, 3, 4 хороолол","
*БГД 33-р хороо, Модны-2т , Их шавийн дээд сургуулийн баруун талд байрлалтай 59мкв 2өрөө орон сууц худалдана,
💰160сая₮ / мкв-2.700.000₮
🔹6/5 давхарт, урагшаа ба хойшоо харсан цонхтой
🔹Зочны өрөө гал тогооны өрөө,
🔹Унтлагын өрөө, хувцасны өрөө, ариун цэврийн өрөө,
🔹Гал тогооны тавилга үлдэнэ,
🔹Засвар хийхээр
*БГД-н нийгмийн даатгалын хэлтэс, Баянгол эрүүл мэндийн нэгдэл
🔹Монгени цогцолбор сургууль, Русская гимназия, Мон Алтиус коллеж, Норбилан сургууль, Хятад монголын хамтарсан олон улсын дээд сургууль
🔹Их шавийн дээд сургууль, Их Монгол дээд сургууль, МУБИС цэцэрлэгийн багшийн сургууль,
🔹 Гурван Эрдэнэ дээд сургууль, Барилгын техник мэргэжлийн сургууль, Сан дээд сургууль, Тээврийн дээд сургууль",https://www.unegui.mn/adv/8104787_modny-2-mongen-surguuliin-urd-2oroo-bair/,Паркет,1 тагттай,2011,Байхгүй,Вакум,6,Төмөр,59.0 м²,5,Лизинггүй,3,Ашиглалтад орсон,8,38,"3, 4 хороолол",,,,,,Баянгол,"3, 4 хороолол",,160,59,2.711864407
251,"belmonte residence 79,55м2 3 өрөө",4.85 сая ₮,3/16/2024,14:10,8040884,,3 өрөө,"УБ — Хан-Уул, Яармаг",,https://www.unegui.mn/adv/8040884_iaarmagt-belmonte-residence-79-55m2-3-oroo-shine-oron-suuts/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,79.55 м²,12,Лизинггүй,4,Ашиглалтад орсон,8,39,Яармаг,,,,,,Хан-Уул,Яармаг,,4.85,79.55,0.060967945
252,hunnu tower 2 өрөө орон сууц 59.59 мкв,226.44 сая ₮,3/16/2024,14:09,8045604,,2 өрөө,"УБ — Хан-Уул, Яармаг",,https://www.unegui.mn/adv/8045604_iaarmag-hunnu-tower-2-oroo-oron-suuts-khudaldana/,Паркет,Тагтгүй,2021,Байхгүй,Вакум,16,Бүргэд,59.59 м²,8,Лизинггүй,2,Ашиглалтад орсон,8,40,Яармаг,,,,,,Хан-Уул,Яармаг,,226.44,59.59,3.799966437
253,ub central хотхонд 3 өрөө 81мкв,6.9 сая ₮,3/16/2024,14:09,7930098,,3 өрөө,"УБ — Сүхбаатар, 5-р хороолол",,https://www.unegui.mn/adv/7930098_tsirkiin-urd-ub-central-khotkhond-3-oroo-khudaldana/,Паркет,1 тагттай,2017,Байхгүй,Вакум,16,Бүргэд,81.0 м²,12,Лизинггүй,3,Ашиглалтад орсон,8,41,Цирк,,,,,,Сүхбаатар,5-р хороолол,,6.9,81,0.085185185
254,𝐆𝐥𝐨𝐛𝐚𝐥 t𝐨𝐰𝐧 хотхон 𝟑 өрөө орон сууц 104.5м2,5.6 сая ₮,3/16/2024,14:08,8054877,,3 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15",,https://www.unegui.mn/adv/8054877_global-town-khotkhon-b-blok-d-3-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2024,Байхгүй,Вакум,22,Бүргэд,104.5 м²,15,Лизинггүй,4,Ашиглалтад орсон,8,42,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,5.6,104.5,0.053588517
255,global town c блок-д 4 өрөө 147.24мкв орон сууц,5.5 сая ₮,3/16/2024,14:08,7967530,,4 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15",,https://www.unegui.mn/adv/7967530_khud-15-r-khoroo-global-town-c-blok-d-4-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2024,Байхгүй,Вакум,22,Бүргэд,147.24 м²,7,Лизинггүй,4,Ашиглалтад ороогүй,8,43,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,5.5,147.24,0.03735398
256,belmonte luxury residence хотхонд 4өрөө 168.69м2,3.85 сая ₮,3/16/2024,14:08,8098169,,4 өрөө,"УБ — Хан-Уул, Яармаг","
#Яармаг, #JET сургуулийн хойно #BELMONTE_luxury_residence хотхонд #4өрөө орон сууц худалдана.

мкв үнэ: 3.850.000

2019 | 168.69мкв | 4өрөө | гал тогоо тусдаа | 10/1давхарт
бүх төрлийн бартер сонсоно",https://www.unegui.mn/adv/8098169_iaarmag-jet-surguuliin-khoino-belmonte-luxury-residence-khotkhond-4oroo/,Паркет,1 тагттай,2019,Байхгүй,Вакум,10,Бүргэд,168.69 м²,1,Лизинггүй,5,Ашиглалтад орсон,8,44,Яармаг,,,,,,Хан-Уул,Яармаг,,3.85,168.69,0.02282293
257,"akoya residence хотхонд 86,7 мкв 3 өрөө",5.5 сая ₮,3/16/2024,14:07,7991289,,3 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15",,https://www.unegui.mn/adv/7991289_khud15-khoro-akoya-residence-khotkhond-86-7-mkv-3-oroo-oron-suuts-khudaldana/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,86.7 м²,13,Лизинггүй,4,Ашиглалтад орсон,8,45,Зайсан хойно,,,,,,Хан-Уул,Хороо 15,15,5.5,86.7,0.06343714
